t,B1,Bs,Bn,Bj,Bm
7.939698492,0.886134034,1.396618922,1.999996441,3,5
7.989949749,0.891558219,1.396852772,1.999996829,3,5
8.040201005,0.896785007,1.39707149,1.999997175,3,5
8.090452261,0.901820483,1.397276056,1.999997483,3,5
8.140703518,0.906670657,1.397467383,1.999997758,3,5
8.190954774,0.911341455,1.39764633,1.999998004,3,5
8.24120603,0.915838706,1.397813697,1.999998223,3,5
8.291457286,0.920168134,1.397970234,1.999998418,3,5
8.341708543,0.924335348,1.398116641,1.999998593,3,5
8.391959799,0.928345839,1.398253574,1.999998748,3,5
8.442211055,0.932204973,1.398381645,1.999998887,3,5
8.492462312,0.935917986,1.398501429,1.999999011,3,5
8.542713568,0.939489985,1.398613462,1.999999121,3,5
8.592964824,0.942925941,1.398718244,1.999999219,3,5
8.64321608,0.946230689,1.398816246,1.999999307,3,5
8.693467337,0.949408931,1.398907906,1.999999386,3,5
8.743718593,0.952465231,1.398993634,1.999999455,3,5
8.793969849,0.955404016,1.399073814,1.999999518,3,5
8.844221106,0.958229581,1.399148806,1.999999573,3,5
8.894472362,0.960946087,1.399218945,1.999999623,3,5
8.944723618,0.963557561,1.399284545,1.999999667,3,5
8.994974874,0.966067903,1.3993459,1.999999707,3,5
9.045226131,0.968480882,1.399403284,1.999999742,3,5
9.095477387,0.970800145,1.399456955,1.999999774,3,5
9.145728643,0.973029213,1.399507152,1.999999802,3,5
9.195979899,0.97517149,1.399554102,1.999999827,3,5
9.246231156,0.977230259,1.399598012,1.999999849,3,5
9.296482412,0.979208693,1.399639082,1.999999869,3,5
9.346733668,0.981109849,1.399677493,1.999999887,3,5
9.396984925,0.982936678,1.399713419,1.999999902,3,5
9.447236181,0.984692025,1.39974702,1.999999916,3,5
9.497487437,0.986378632,1.399778446,1.999999929,3,5
9.547738693,0.987999142,1.399807839,1.99999994,3,5
9.59798995,0.989556102,1.39983533,1.99999995,3,5
9.648241206,0.991051963,1.399861041,1.999999959,3,5
9.698492462,0.99248909,1.399885089,1.999999967,3,5
9.748743719,0.993869755,1.39990758,1.999999974,3,5
9.798994975,0.995196149,1.399928616,1.999999981,3,5
9.849246231,0.99647038,1.399948291,1.999999986,3,5
9.899497487,0.997694476,1.399966693,1.999999991,3,5
9.949748744,0.99887039,1.399983903,1.999999996,3,5
10,1,1.4,2,3,5
